ClassNumber,Mnemonic,Number,Section,Title
16995,BME,8999,28,Master's Research
17101,BME,8999,29,Master's Research
17133,BME,8999,30,Master's Research
17134,BME,8999,31,Master's Research
17245,BME,8999,32,Master's Research
17367,BME,8999,33,Master's Research
17374,BME,8999,34,Master's Research
18027,BME,8999,35,Master's Research
18028,BME,8999,36,Master's Research
18029,BME,8999,37,Master's Research
18175,BME,8999,38,Master's Research
21808,BME,8999,39,Master's Research
21908,BME,8999,40,Master's Research
20657,BME,9999,2,Dissertation
16023,BME,9999,3,Dissertation
16024,BME,9999,4,Dissertation
16025,BME,9999,5,Dissertation
16026,BME,9999,6,Dissertation
16027,BME,9999,7,Dissertation
16028,BME,9999,8,Dissertation
16029,BME,9999,9,Dissertation
16030,BME,9999,10,Dissertation
16031,BME,9999,11,Dissertation
16032,BME,9999,12,Dissertation
17102,BME,9999,13,Dissertation
16991,BME,9999,14,Dissertation
17028,BME,9999,15,Dissertation
16088,BME,9999,16,Dissertation
16089,BME,9999,17,Dissertation
16090,BME,9999,18,Dissertation
16091,BME,9999,19,Dissertation
16093,BME,9999,20,Dissertation
16096,BME,9999,21,Dissertation
16729,BME,9999,22,Dissertation
20898,BME,9999,23,Dissertation
21235,BME,9999,24,Dissertation
21239,BME,9999,25,Dissertation
16097,BME,9999,27,Dissertation
16098,BME,9999,28,Dissertation
16099,BME,9999,29,Dissertation
16100,BME,9999,30,Dissertation
16439,BME,9999,32,Dissertation
16456,BME,9999,33,Dissertation
16607,BME,9999,34,Dissertation
16765,BME,9999,35,Dissertation
21269,BUS,5010,701,Cyber Security Management
21443,BUS,5040,701,Creating and Conducting a Security Assessment
21272,BUS,5100,701,"Cyber Law, Regulation, and Ethics"
21270,BUS,5120,701,Securing the Internet of Things
11964,CASS,1010,1,College Art Scholars Seminar
21745,CE,1501,1,Special Topics in Civil & Environmental Engineering
15846,CE,2010,1,Civil Engineering Techniques
16725,CE,2300,1,Statics
17195,CE,2300,2,Statics
19408,CE,3100,1,Water for the World
16326,CE,3210,1,Fluid Mechanics
16327,CE,3212,1,Fluid Mechanics Laboratory
16328,CE,3212,2,Fluid Mechanics Laboratory
16329,CE,3212,3,Fluid Mechanics Laboratory
15974,CE,3300,1,Structural Mechanics
16682,CE,3710,1,Introduction to Geotechnical Engineering
16683,CE,3712,1,Introduction to Geotechnical Engineering Laboratory
16684,CE,3712,2,Introduction to Geotechnical Engineering Laboratory
16685,CE,3712,3,Introduction to Geotechnical Engineering Laboratory
17227,CE,3800,1,Civil Engineering Undergraduate Seminar
20342,CE,4100,1,Water Chemistry
19431,CE,4110,1,Environmental Systems Modeling & Management
16511,CE,4990,1,Civil Engineering Research and Design
17180,CE,4990,2,Civil Engineering Research and Design
17182,CE,4990,4,Civil Engineering Research and Design
17183,CE,4990,5,Civil Engineering Research and Design
17184,CE,4990,6,Civil Engineering Research and Design
17185,CE,4990,7,Civil Engineering Research and Design
17186,CE,4990,8,Civil Engineering Research and Design
17187,CE,4990,9,Civil Engineering Research and Design
17188,CE,4990,10,Civil Engineering Research and Design
17189,CE,4990,11,Civil Engineering Research and Design
15848,CE,4995,1,Civil Engineering Research
15849,CE,4995,2,Civil Engineering Research
15847,CE,4995,3,Civil Engineering Research
16319,CE,4995,4,Civil Engineering Research
16332,CE,4995,5,Civil Engineering Research
